Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Sudan,Al Jazirah,Al Manaqil,SDN,SD15036,SD15,January,1997,0,0
Sudan,Al Jazirah,Medani Al Kubra,SDN,SD15030,SD15,January,1997,0,0
Sudan,Blue Nile,Geisan,SDN,SD08109,SD08,January,1997,6,151
Sudan,Blue Nile,Wad Al Mahi,SDN,SD08110,SD08,January,1997,3,0
Sudan,Central Darfur,Wasat Jabal Marrah,SDN,SD06139,SD06,January,1997,0,0
Sudan,Gedaref,Al Galabat Al Gharbyah-Kassab,SDN,SD12078,SD12,January,1997,0,0
Sudan,Gedaref,Madeinat Al Gedaref,SDN,SD12080,SD12,January,1997,0,0
Sudan,Kassala,Halfa Aj Jadeedah,SDN,SD11052,SD11,January,1997,0,0
Sudan,Kassala,Madeinat Kassala,SDN,SD11053,SD11,January,1997,3,207
Sudan,Kassala,Reifi Wad Elhilaiw,SDN,SD11061,SD11,January,1997,0,0
Sudan,Khartoum,Karrari,SDN,SD01005,SD01,January,1997,0,0
Sudan,Khartoum,Um Bada,SDN,SD01002,SD01,January,1997,0,0
Sudan,Khartoum,Omdurman,SDN,SD01006,SD01,January,1997,0,0
Sudan,North Darfur,Al Lait,SDN,SD02169,SD02,January,1997,0,0
Sudan,Northern,Halfa,SDN,SD17014,SD17,January,1997,0,0
Sudan,Red Sea,Dordieb,SDN,SD10063,SD10,January,1997,1,0
Sudan,Red Sea,Haya,SDN,SD10070,SD10,January,1997,2,0
Sudan,Sennar,Abu Hujar,SDN,SD14037,SD14,January,1997,0,0
Sudan,South Darfur,Sunta,SDN,SD03156,SD03,January,1997,0,0
Sudan,South Darfur,Ed Al Fursan,SDN,SD03143,SD03,January,1997,0,0
Sudan,South Darfur,Kas,SDN,SD03144,SD03,January,1997,0,0
Sudan,South Darfur,Nyala Shimal,SDN,SD03164,SD03,January,1997,0,0
Sudan,South Kordofan,Kadugli,SDN,SD07098,SD07,January,1997,0,0
Sudan,West Darfur,Sirba,SDN,SD04134,SD04,January,1997,0,0
Sudan,West Kordofan,Al Meiram,SDN,SD18106,SD18,January,1997,0,0
