country,year,month,events,fatalities
South Africa,1997,1,1,4
South Africa,1997,2,3,6
South Africa,1997,3,2,2
South Africa,1997,4,2,1
South Africa,1997,5,1,0
South Africa,1997,6,0,0
South Africa,1997,7,1,5
South Africa,1997,8,0,0
South Africa,1997,9,1,7
South Africa,1997,10,4,15
South Africa,1997,11,5,22
South Africa,1997,12,0,0
South Africa,1998,1,1,11
South Africa,1998,2,1,0
South Africa,1998,3,0,0
South Africa,1998,4,1,1
South Africa,1998,5,5,13
South Africa,1998,6,3,9
South Africa,1998,7,4,29
South Africa,1998,8,3,6
South Africa,1998,9,2,4
South Africa,1998,10,8,7
South Africa,1998,11,2,4
South Africa,1998,12,3,6
South Africa,1999,1,6,15
South Africa,1999,2,6,12
South Africa,1999,3,3,5
South Africa,1999,4,1,4
South Africa,1999,5,3,5
South Africa,1999,6,2,2
South Africa,1999,7,1,0
South Africa,1999,8,0,0
South Africa,1999,9,3,12
South Africa,1999,10,0,0
South Africa,1999,11,4,7
South Africa,1999,12,1,0
South Africa,2000,1,3,7
South Africa,2000,2,1,0
South Africa,2000,3,0,0
South Africa,2000,4,2,2
South Africa,2000,5,1,0
South Africa,2000,6,6,2
South Africa,2000,7,2,1
South Africa,2000,8,3,0
South Africa,2000,9,3,1
South Africa,2000,10,5,12
South Africa,2000,11,3,4
South Africa,2000,12,2,7
South Africa,2001,1,1,0
South Africa,2001,2,2,4
South Africa,2001,3,4,3
South Africa,2001,4,0,0
South Africa,2001,5,1,0
South Africa,2001,6,0,0
South Africa,2001,7,3,8
South Africa,2001,8,2,0
South Africa,2001,9,1,0
South Africa,2001,10,2,0
South Africa,2001,11,0,0
South Africa,2001,12,2,1
South Africa,2002,1,2,7
South Africa,2002,2,1,3
South Africa,2002,3,0,0
South Africa,2002,4,0,0
South Africa,2002,5,0,0
South Africa,2002,6,1,5
South Africa,2002,7,1,4
South Africa,2002,8,1,0
South Africa,2002,9,0,0
South Africa,2002,10,6,5
South Africa,2002,11,3,0
South Africa,2002,12,1,0
South Africa,2003,1,2,8
South Africa,2003,2,0,0
South Africa,2003,3,0,0
South Africa,2003,4,0,0
South Africa,2003,5,3,4
South Africa,2003,6,1,3
South Africa,2003,7,0,0
South Africa,2003,8,0,0
South Africa,2003,9,3,1
South Africa,2003,10,0,0
South Africa,2003,11,1,0
South Africa,2003,12,0,0
South Africa,2004,1,5,11
South Africa,2004,2,3,1
South Africa,2004,3,2,1
South Africa,2004,4,3,5
South Africa,2004,5,0,0
South Africa,2004,6,0,0
South Africa,2004,7,0,0
South Africa,2004,8,2,4
South Africa,2004,9,0,0
South Africa,2004,10,0,0
South Africa,2004,11,1,1
South Africa,2004,12,2,4
South Africa,2005,1,1,1
South Africa,2005,2,0,0
South Africa,2005,3,2,2
South Africa,2005,4,0,0
South Africa,2005,5,0,0
South Africa,2005,6,0,0
South Africa,2005,7,0,0
South Africa,2005,8,0,0
South Africa,2005,9,2,1
South Africa,2005,10,0,0
South Africa,2005,11,1,1
South Africa,2005,12,0,0
South Africa,2006,1,1,2
South Africa,2006,2,2,1
South Africa,2006,3,0,0
South Africa,2006,4,1,8
South Africa,2006,5,0,0
South Africa,2006,6,0,0
South Africa,2006,7,1,1
South Africa,2006,8,1,2
South Africa,2006,9,0,0
South Africa,2006,10,0,0
South Africa,2006,11,0,0
South Africa,2006,12,1,2
South Africa,2007,1,1,1
South Africa,2007,2,2,1
South Africa,2007,3,3,1
South Africa,2007,4,1,0
South Africa,2007,5,1,0
South Africa,2007,6,3,2
South Africa,2007,7,1,1
South Africa,2007,8,5,2
South Africa,2007,9,1,0
South Africa,2007,10,1,0
South Africa,2007,11,1,0
South Africa,2007,12,0,0
South Africa,2008,1,1,2
South Africa,2008,2,1,0
South Africa,2008,3,2,1
South Africa,2008,4,1,1
South Africa,2008,5,11,19
South Africa,2008,6,2,2
South Africa,2008,7,3,3
South Africa,2008,8,1,1
South Africa,2008,9,2,1
South Africa,2008,10,1,1
South Africa,2008,11,2,2
South Africa,2008,12,3,4
South Africa,2009,1,4,3
South Africa,2009,2,9,5
South Africa,2009,3,3,4
South Africa,2009,4,1,1
South Africa,2009,5,2,3
South Africa,2009,6,6,5
South Africa,2009,7,2,0
South Africa,2009,8,0,0
South Africa,2009,9,6,3
South Africa,2009,10,5,5
South Africa,2009,11,4,2
South Africa,2009,12,3,2
South Africa,2010,1,3,2
South Africa,2010,2,3,3
South Africa,2010,3,2,3
South Africa,2010,4,2,1
South Africa,2010,5,3,3
South Africa,2010,6,1,0
South Africa,2010,7,7,2
South Africa,2010,8,5,2
South Africa,2010,9,2,0
South Africa,2010,10,3,2
South Africa,2010,11,3,2
South Africa,2010,12,4,6
South Africa,2011,1,1,1
South Africa,2011,2,4,2
South Africa,2011,3,2,2
South Africa,2011,4,3,3
South Africa,2011,5,4,3
South Africa,2011,6,2,2
South Africa,2011,7,7,4
South Africa,2011,8,7,6
South Africa,2011,9,4,4
South Africa,2011,10,11,5
South Africa,2011,11,3,2
South Africa,2011,12,8,5
South Africa,2012,1,22,21
South Africa,2012,2,19,15
South Africa,2012,3,19,17
South Africa,2012,4,10,7
South Africa,2012,5,17,14
South Africa,2012,6,23,17
South Africa,2012,7,24,23
South Africa,2012,8,21,17
South Africa,2012,9,21,14
South Africa,2012,10,18,10
South Africa,2012,11,22,16
South Africa,2012,12,8,3
South Africa,2013,1,17,13
South Africa,2013,2,19,14
South Africa,2013,3,30,17
South Africa,2013,4,18,4
South Africa,2013,5,28,16
South Africa,2013,6,7,4
South Africa,2013,7,5,5
South Africa,2013,8,6,3
South Africa,2013,9,15,2
South Africa,2013,10,10,8
South Africa,2013,11,10,10
South Africa,2013,12,4,1
South Africa,2014,1,8,9
South Africa,2014,2,14,8
South Africa,2014,3,11,5
South Africa,2014,4,18,12
South Africa,2014,5,33,25
South Africa,2014,6,14,13
South Africa,2014,7,18,7
South Africa,2014,8,19,10
South Africa,2014,9,20,9
South Africa,2014,10,14,8
South Africa,2014,11,16,7
South Africa,2014,12,15,14
South Africa,2015,1,19,17
South Africa,2015,2,15,5
South Africa,2015,3,21,10
South Africa,2015,4,65,34
South Africa,2015,5,17,9
South Africa,2015,6,21,11
South Africa,2015,7,22,13
South Africa,2015,8,15,8
South Africa,2015,9,23,24
South Africa,2015,10,29,23
South Africa,2015,11,16,10
South Africa,2015,12,17,16
South Africa,2016,1,18,7
South Africa,2016,2,15,14
South Africa,2016,3,22,12
South Africa,2016,4,19,10
South Africa,2016,5,14,7
South Africa,2016,6,22,13
South Africa,2016,7,11,9
South Africa,2016,8,13,8
South Africa,2016,9,7,1
South Africa,2016,10,5,7
South Africa,2016,11,10,5
South Africa,2016,12,13,12
South Africa,2017,1,8,12
South Africa,2017,2,14,6
South Africa,2017,3,8,6
South Africa,2017,4,8,8
South Africa,2017,5,11,5
South Africa,2017,6,7,2
South Africa,2017,7,13,15
South Africa,2017,8,13,9
South Africa,2017,9,7,9
South Africa,2017,10,11,8
South Africa,2017,11,12,9
South Africa,2017,12,3,2
South Africa,2018,1,15,6
South Africa,2018,2,3,3
South Africa,2018,3,9,6
South Africa,2018,4,9,12
South Africa,2018,5,11,9
